Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,30-day Removals,30-day Removals %,30-day Additions,30-day Additions %,30-day Net Change,30-day Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,Current Total
National Aeronautics and Space Administration,45756,-178.0%,49093,+191.0%,3337,+13.0%,208,-0.8%,189,+0.7%,-19,-0.1%,29963,-116.5%,26640,+103.6%,-3323,-12.9%,25709
Millennium Challenge Corporation,335,-1763.2%,172,+905.3%,-163,-857.9%,166,-873.7%,1,+5.3%,-165,-868.4%,166,-873.7%,4,+21.1%,-162,-852.6%,19
"National Oceanic and Atmospheric Administration, Department of Commerce",106695,-103.7%,107234,+104.2%,539,+0.5%,18,-0.0%,99203,+96.4%,99185,+96.4%,100440,-97.6%,100305,+97.5%,-135,-0.1%,102885
Department of Veterans Affairs,39,-3.4%,31,+2.7%,-8,-0.7%,0,-0.0%,0,0.0%,0,0.0%,18,-1.6%,5,+0.4%,-13,-1.1%,1148
Office of Navajo and Hopi Indian Relocation,4,0.0%,0,0.0%,-4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,-4,0.0%,0
Department of the Interior,39818,-102.3%,41262,+106.0%,1444,+3.7%,25,-0.1%,102,+0.3%,77,+0.2%,39023,-100.2%,39213,+100.7%,190,+0.5%,38938
U.S. Environmental Protection Agency,8373,-128.8%,8690,+133.7%,317,+4.9%,6,-0.1%,19,+0.3%,13,+0.2%,5973,-91.9%,6081,+93.5%,108,+1.7%,6501
"U.S. Census Bureau, Department of Commerce",991,-1.3%,1010,+1.3%,19,+0.0%,0,-0.0%,0,0.0%,0,0.0%,370,-0.5%,423,+0.5%,53,+0.1%,77116
Department of Energy,1717,-46.2%,2026,+54.5%,309,+8.3%,0,-0.0%,5,+0.1%,5,+0.1%,1,-0.0%,27,+0.7%,26,+0.7%,3716
Department of Agriculture,109,-3.9%,218,+7.8%,109,+3.9%,36,-1.3%,30,+1.1%,-6,-0.2%,39,-1.4%,52,+1.9%,13,+0.5%,2806
"Federal Emergency Management Agency, Department of Homeland Security",1,-0.4%,36,+12.7%,35,+12.4%,0,-0.0%,4,+1.4%,4,+1.4%,0,-0.0%,11,+3.9%,11,+3.9%,283
Nuclear Regulatory Commission,2,-1.6%,53,+42.1%,51,+40.5%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,10,+7.9%,10,+7.9%,126
U.S. Department of Health & Human Services,532,-22.9%,545,+23.4%,13,+0.6%,2,-0.1%,2,+0.1%,0,0.0%,20,-0.9%,30,+1.3%,10,+0.4%,2325
US International Trade Commission,1,-1.0%,8,+8.1%,7,+7.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,6,+6.1%,6,+6.1%,99
"Networking and Information Technology Research and Development, Executive Office of the President",1,-0.7%,8,+5.7%,7,+5.0%,0,-0.0%,3,+2.1%,3,+2.1%,0,-0.0%,3,+2.1%,3,+2.1%,140
AmeriCorps,8,-17.0%,10,+21.3%,2,+4.3%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,1,+2.1%,1,+2.1%,47
Department of Transportation,49,-6.0%,61,+7.5%,12,+1.5%,0,-0.0%,0,0.0%,0,0.0%,11,-1.4%,12,+1.5%,1,+0.1%,813
Board of Governors of the Federal Reserve System,115,-69.3%,170,+102.4%,55,+33.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,166
Commodity Futures Trading Commission,1,-14.3%,1,+14.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,7
Department of Commerce,12,-0.7%,14,+0.9%,2,+0.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1632
Department of Defense,1,-0.6%,1,+0.6%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,175
Department of Education,10,-1.2%,10,+1.2%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,863
Department of Homeland Security,59,-5.3%,43,+3.9%,-16,-1.4%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1112
Department of Housing and Urban Development,3,-1.4%,3,+1.4%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,220
Department of Justice,14,-1.0%,14,+1.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1425
Department of Labor,31,-6.8%,21,+4.6%,-10,-2.2%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,453
Department of State,2,-0.5%,2,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,381
Department of the Treasury,3,-1.3%,3,+1.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,233
Federal Communications Commission,2,-3.8%,2,+3.8%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,53
Federal Housing Finance Agency,6,-15.4%,7,+17.9%,1,+2.6%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,39
Federal Laboratory Consortium,1,-0.5%,1,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,200
Federal Trade Commission,1,-1.1%,1,+1.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,95
General Services Administration,0,-0.0%,2,+1.2%,2,+1.2%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,169
Georgia Tech Center for GIS College of Architecture,1,0.0%,0,0.0%,-1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Institute of Museum and Library Services,43,-74.1%,59,+101.7%,16,+27.6%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,58
National Credit Union Administration NCUA,13,-56.5%,0,0.0%,-13,-56.5%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,23
National Endowment for the Humanities,1,-2.1%,1,+2.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,48
National Institute of Standards and Technology,25,-2.1%,108,+9.2%,83,+7.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1169
National Science Foundation,0,-0.0%,2,+2.9%,2,+2.9%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,70
National Transportation Safety Board,1,-100.0%,1,+100.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1
Office of Personnel Management,1,-0.7%,1,+0.7%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,134
Railroad Retirement Board,2,-2.4%,5,+5.9%,3,+3.5%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,85
Securities and Exchange Commission,2,-4.9%,4,+9.8%,2,+4.9%,2,-4.9%,2,+4.9%,0,0.0%,2,-4.9%,2,+4.9%,0,0.0%,41
Small Business Administration,3,-5.3%,3,+5.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,57
Social Security Administration,11,-1.1%,11,+1.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1037
"U.S. Geological Survey, Department of the Interior",28,0.0%,0,0.0%,-28,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
US Agency for International Development,36,-1.8%,80,+3.9%,44,+2.2%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,2027
