Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,Current Total
"National Oceanic and Atmospheric Administration, Department of Commerce",2054,-1.9%,6008,+5.7%,3954,+3.7%,28,-0.0%,0,0.0%,-28,-0.0%,106300
U.S. Department of Health & Human Services,480,-23.8%,185,+9.2%,-295,-14.6%,7,-0.3%,3,+0.1%,-4,-0.2%,2017
National Institute of Standards and Technology,8,-0.7%,91,+7.8%,83,+7.1%,7,-0.6%,89,+7.6%,82,+7.0%,1169
U.S. Environmental Protection Agency,2219,-34.9%,2393,+37.6%,174,+2.7%,0,-0.0%,48,+0.8%,48,+0.8%,6358
National Aeronautics and Space Administration,229,-1.0%,492,+2.2%,263,+1.2%,11,-0.0%,47,+0.2%,36,+0.2%,22635
Department of the Interior,237,-0.6%,1541,+4.0%,1304,+3.4%,4,-0.0%,30,+0.1%,26,+0.1%,38798
Nuclear Regulatory Commission,0,-0.0%,41,+35.3%,41,+35.3%,0,-0.0%,10,+8.6%,10,+8.6%,116
Department of Energy,1684,-46.0%,1938,+52.9%,254,+6.9%,3,-0.1%,9,+0.2%,6,+0.2%,3661
Department of Justice,5,-0.4%,5,+0.4%,0,0.0%,0,-0.0%,3,+0.2%,3,+0.2%,1425
AmeriCorps,6,-13.0%,7,+15.2%,1,+2.2%,0,-0.0%,0,0.0%,0,0.0%,46
Board of Governors of the Federal Reserve System,111,-66.9%,166,+100.0%,55,+33.1%,0,-0.0%,0,0.0%,0,0.0%,166
Department of Agriculture,35,-1.3%,131,+4.7%,96,+3.4%,0,-0.0%,0,0.0%,0,0.0%,2793
Department of Commerce,2,-0.1%,4,+0.2%,2,+0.1%,0,-0.0%,0,0.0%,0,0.0%,1632
Department of Homeland Security,44,-4.0%,28,+2.5%,-16,-1.4%,0,-0.0%,0,0.0%,0,0.0%,1112
Department of Labor,9,-1.9%,11,+2.4%,2,+0.4%,0,-0.0%,0,0.0%,0,0.0%,465
Department of Transportation,34,-4.2%,36,+4.5%,2,+0.2%,0,-0.0%,0,0.0%,0,0.0%,803
Department of Veterans Affairs,1,-0.1%,6,+0.5%,5,+0.4%,0,-0.0%,0,0.0%,0,0.0%,1161
Federal Communications Commission,1,-1.9%,1,+1.9%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,53
Federal Housing Finance Agency,6,-15.4%,7,+17.9%,1,+2.6%,0,-0.0%,0,0.0%,0,0.0%,39
General Services Administration,0,-0.0%,2,+1.2%,2,+1.2%,0,-0.0%,0,0.0%,0,0.0%,169
Georgia Tech Center for GIS College of Architecture,1,0.0%,0,0.0%,-1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Institute of Museum and Library Services,6,-14.3%,6,+14.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,42
Millennium Challenge Corporation,168,-92.8%,167,+92.3%,-1,-0.6%,0,-0.0%,0,0.0%,0,0.0%,181
National Credit Union Administration NCUA,13,-56.5%,0,0.0%,-13,-56.5%,0,-0.0%,0,0.0%,0,0.0%,23
National Science Foundation,0,-0.0%,2,+2.9%,2,+2.9%,0,-0.0%,0,0.0%,0,0.0%,70
"Networking and Information Technology Research and Development, Executive Office of the President",0,-0.0%,4,+2.9%,4,+2.9%,0,-0.0%,0,0.0%,0,0.0%,137
Railroad Retirement Board,1,-1.2%,1,+1.2%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,82
Securities and Exchange Commission,0,-0.0%,2,+4.9%,2,+4.9%,0,-0.0%,0,0.0%,0,0.0%,41
Social Security Administration,5,-0.5%,5,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1037
"U.S. Census Bureau, Department of Commerce",109,-0.1%,128,+0.2%,19,+0.0%,0,-0.0%,0,0.0%,0,0.0%,77116
"U.S. Geological Survey, Department of the Interior",28,0.0%,0,0.0%,-28,0.0%,0,0.0%,0,0.0%,0,0.0%,0
US Agency for International Development,7,-0.3%,51,+2.5%,44,+2.2%,0,-0.0%,0,0.0%,0,0.0%,2027
US International Trade Commission,0,-0.0%,1,+1.1%,1,+1.1%,0,-0.0%,0,0.0%,0,0.0%,93
