Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,Current Total
Department of Justice,5,-0.4%,2,+0.1%,-3,-0.2%,4,-0.3%,1,+0.1%,-3,-0.2%,1422
Department of the Interior,233,-0.6%,1511,+3.9%,1278,+3.3%,7,-0.0%,169,+0.4%,162,+0.4%,38772
U.S. Environmental Protection Agency,2219,-35.2%,2345,+37.2%,126,+2.0%,29,-0.5%,44,+0.7%,15,+0.2%,6310
Department of Homeland Security,44,-4.0%,28,+2.5%,-16,-1.4%,0,-0.0%,9,+0.8%,9,+0.8%,1112
National Aeronautics and Space Administration,218,-1.0%,445,+2.0%,227,+1.0%,4,-0.0%,13,+0.1%,9,+0.0%,22599
Department of Energy,1681,-46.0%,1929,+52.8%,248,+6.8%,1,-0.0%,3,+0.1%,2,+0.1%,3655
U.S. Department of Health & Human Services,473,-23.4%,182,+9.0%,-291,-14.4%,1,-0.0%,3,+0.1%,2,+0.1%,2021
"National Oceanic and Atmospheric Administration, Department of Commerce",2026,-1.9%,6008,+5.7%,3982,+3.7%,43,-0.0%,44,+0.0%,1,+0.0%,106328
Securities and Exchange Commission,0,-0.0%,2,+4.9%,2,+4.9%,0,-0.0%,1,+2.4%,1,+2.4%,41
AmeriCorps,6,-13.0%,7,+15.2%,1,+2.2%,0,-0.0%,0,0.0%,0,0.0%,46
Board of Governors of the Federal Reserve System,111,-66.9%,166,+100.0%,55,+33.1%,0,-0.0%,0,0.0%,0,0.0%,166
Department of Agriculture,35,-1.3%,131,+4.7%,96,+3.4%,0,-0.0%,0,0.0%,0,0.0%,2793
Department of Commerce,2,-0.1%,4,+0.2%,2,+0.1%,0,-0.0%,0,0.0%,0,0.0%,1632
Department of Labor,9,-1.9%,11,+2.4%,2,+0.4%,0,-0.0%,0,0.0%,0,0.0%,465
Department of Transportation,34,-4.2%,36,+4.5%,2,+0.2%,3,-0.4%,3,+0.4%,0,0.0%,803
Department of Veterans Affairs,1,-0.1%,6,+0.5%,5,+0.4%,0,-0.0%,0,0.0%,0,0.0%,1161
Federal Communications Commission,1,-1.9%,1,+1.9%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,53
Federal Housing Finance Agency,6,-15.4%,7,+17.9%,1,+2.6%,0,-0.0%,0,0.0%,0,0.0%,39
General Services Administration,0,-0.0%,2,+1.2%,2,+1.2%,0,-0.0%,0,0.0%,0,0.0%,169
Georgia Tech Center for GIS College of Architecture,1,0.0%,0,0.0%,-1,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Institute of Museum and Library Services,6,-14.3%,6,+14.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,42
Millennium Challenge Corporation,168,-92.8%,167,+92.3%,-1,-0.6%,0,-0.0%,0,0.0%,0,0.0%,181
National Credit Union Administration NCUA,13,-56.5%,0,0.0%,-13,-56.5%,0,-0.0%,0,0.0%,0,0.0%,23
National Institute of Standards and Technology,1,-0.1%,2,+0.2%,1,+0.1%,0,-0.0%,0,0.0%,0,0.0%,1087
National Science Foundation,0,-0.0%,2,+2.9%,2,+2.9%,0,-0.0%,0,0.0%,0,0.0%,70
"Networking and Information Technology Research and Development, Executive Office of the President",0,-0.0%,4,+2.9%,4,+2.9%,0,-0.0%,0,0.0%,0,0.0%,137
Nuclear Regulatory Commission,0,-0.0%,31,+29.2%,31,+29.2%,0,-0.0%,0,0.0%,0,0.0%,106
Railroad Retirement Board,1,-1.2%,1,+1.2%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,82
Social Security Administration,5,-0.5%,5,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1037
"U.S. Census Bureau, Department of Commerce",109,-0.1%,128,+0.2%,19,+0.0%,3,-0.0%,3,+0.0%,0,0.0%,77116
"U.S. Geological Survey, Department of the Interior",28,0.0%,0,0.0%,-28,0.0%,0,0.0%,0,0.0%,0,0.0%,0
US Agency for International Development,7,-0.3%,51,+2.5%,44,+2.2%,1,-0.0%,1,+0.0%,0,0.0%,2027
US International Trade Commission,0,-0.0%,1,+1.1%,1,+1.1%,0,-0.0%,0,0.0%,0,0.0%,93
