Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,30-day Removals,30-day Removals %,30-day Additions,30-day Additions %,30-day Net Change,30-day Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,Current Total
General Services Administration,0,-0.0%,2,+1.2%,2,+1.2%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,169
Georgia Tech Center for GIS College of Architecture,1,0.0%,0,0.0%,-1,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
Institute of Museum and Library Services,43,-74.1%,59,+101.7%,16,+27.6%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,58
National Credit Union Administration NCUA,13,-56.5%,0,0.0%,-13,-56.5%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,23
National Endowment for the Humanities,1,-2.1%,1,+2.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,48
National Institute of Standards and Technology,25,-2.1%,108,+9.2%,83,+7.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1169
National Science Foundation,0,-0.0%,2,+2.9%,2,+2.9%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,70
National Transportation Safety Board,1,-100.0%,1,+100.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1
Office of Personnel Management,1,-0.7%,1,+0.7%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,134
Railroad Retirement Board,2,-2.4%,5,+5.9%,3,+3.5%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,85
Securities and Exchange Commission,2,-4.9%,4,+9.8%,2,+4.9%,0,-0.0%,0,0.0%,0,0.0%,2,-4.9%,2,+4.9%,0,0.0%,41
Small Business Administration,3,-5.3%,3,+5.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,57
"U.S. Geological Survey, Department of the Interior",28,0.0%,0,0.0%,-28,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0
US Agency for International Development,36,-1.8%,80,+3.9%,44,+2.2%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,2027
US International Trade Commission,1,-1.0%,8,+8.1%,7,+7.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,99
