Organization Title,All-time Removals,All-time Removals %,All-time Additions,All-time Additions %,All-time Net Change,All-time Net Change %,30-day Removals,30-day Removals %,30-day Additions,30-day Additions %,30-day Net Change,30-day Net Change %,7-day Removals,7-day Removals %,7-day Additions,7-day Additions %,7-day Net Change,7-day Net Change %,Current Total
Department of Veterans Affairs,39,-3.4%,31,+2.7%,-8,-0.7%,0,-0.0%,0,0.0%,0,0.0%,18,-1.6%,5,+0.4%,-13,-1.1%,1148
Department of Agriculture,109,-3.9%,218,+7.8%,109,+3.9%,0,-0.0%,0,0.0%,0,0.0%,36,-1.3%,30,+1.1%,-6,-0.2%,2806
Office of Navajo and Hopi Indian Relocation,4,0.0%,0,0.0%,-4,0.0%,0,0.0%,0,0.0%,0,0.0%,4,0.0%,0,0.0%,-4,0.0%,0
National Aeronautics and Space Administration,45891,-177.0%,49446,+190.7%,3555,+13.7%,69,-0.3%,117,+0.5%,48,+0.2%,343,-1.3%,614,+2.4%,271,+1.0%,25927
Department of the Interior,39824,-102.2%,41279,+106.0%,1455,+3.7%,2,-0.0%,9,+0.0%,7,+0.0%,92,-0.2%,249,+0.6%,157,+0.4%,38949
U.S. Environmental Protection Agency,8377,-128.5%,8711,+133.6%,334,+5.1%,4,-0.1%,8,+0.1%,4,+0.1%,10,-0.2%,60,+0.9%,50,+0.8%,6518
"National Oceanic and Atmospheric Administration, Department of Commerce",106742,-103.7%,107361,+104.3%,619,+0.6%,38,-0.0%,96,+0.1%,58,+0.1%,99624,-96.8%,99662,+96.8%,38,+0.0%,102965
Social Security Administration,11,-1.0%,37,+3.5%,26,+2.4%,0,-0.0%,26,+2.4%,26,+2.4%,0,-0.0%,26,+2.4%,26,+2.4%,1063
Department of Energy,1719,-46.2%,2035,+54.7%,316,+8.5%,0,-0.0%,1,+0.0%,1,+0.0%,2,-0.1%,26,+0.7%,24,+0.6%,3723
"U.S. Census Bureau, Department of Commerce",991,-1.3%,1010,+1.3%,19,+0.0%,0,-0.0%,0,0.0%,0,0.0%,38,-0.0%,54,+0.1%,16,+0.0%,77116
Nuclear Regulatory Commission,2,-1.5%,63,+46.3%,61,+44.9%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,10,+7.4%,10,+7.4%,136
"Federal Emergency Management Agency, Department of Homeland Security",1,-0.4%,38,+13.3%,37,+13.0%,0,-0.0%,1,+0.4%,1,+0.4%,0,-0.0%,6,+2.1%,6,+2.1%,285
Millennium Challenge Corporation,335,-182.1%,337,+183.2%,2,+1.1%,0,-0.0%,0,0.0%,0,0.0%,166,-90.2%,169,+91.8%,3,+1.6%,184
"Networking and Information Technology Research and Development, Executive Office of the President",1,-0.7%,8,+5.7%,7,+5.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,3,+2.1%,3,+2.1%,140
Department of Transportation,49,-6.0%,64,+7.8%,15,+1.8%,0,-0.0%,0,0.0%,0,0.0%,2,-0.2%,3,+0.4%,1,+0.1%,816
Election Assistance Commission,0,-0.0%,1,+14.3%,1,+14.3%,0,-0.0%,1,+14.3%,1,+14.3%,0,-0.0%,1,+14.3%,1,+14.3%,7
U.S. Department of Health & Human Services,534,-22.9%,550,+23.6%,16,+0.7%,2,-0.1%,5,+0.2%,3,+0.1%,20,-0.9%,21,+0.9%,1,+0.0%,2328
AmeriCorps,8,-17.0%,10,+21.3%,2,+4.3%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,47
Board of Governors of the Federal Reserve System,115,-69.3%,170,+102.4%,55,+33.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,166
Commodity Futures Trading Commission,1,-14.3%,1,+14.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,7
Department of Commerce,12,-0.7%,14,+0.9%,2,+0.1%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1632
Department of Defense,1,-0.6%,1,+0.6%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,175
Department of Education,10,-1.2%,10,+1.2%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,863
Department of Homeland Security,59,-5.3%,43,+3.9%,-16,-1.4%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1112
Department of Housing and Urban Development,3,-1.4%,3,+1.4%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,220
Department of Justice,14,-1.0%,14,+1.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,1425
Department of Labor,31,-6.8%,21,+4.6%,-10,-2.2%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,453
Department of State,2,-0.5%,2,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,381
Department of the Treasury,3,-1.3%,3,+1.3%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,233
Federal Communications Commission,2,-3.8%,2,+3.8%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,53
Federal Housing Finance Agency,6,-15.4%,7,+17.9%,1,+2.6%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,39
Federal Laboratory Consortium,1,-0.5%,1,+0.5%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,200
Federal Trade Commission,1,-1.1%,1,+1.1%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,0,-0.0%,0,0.0%,0,0.0%,95
